Facility_Name,Municipality,Confirmed_Resident_Cases,Confirmed_Staff_Cases,Confirmed_Resident_Deaths,Confirmed_Staff_Deaths,Reported_Date,County,Concluded_Date
Artis Senior Living of Eatontown,Eatontown,8,6,0,0,1/3/2023,Monmouth,3/21/2023
The Chelsea at Marlboro §,Marlboro Twp,29,5,1,0,12/30/2022,Monmouth,3/31/2023
Mira Vie at Tinton Falls,Tinton Falls,7,0,0,0,12/30/2022,Monmouth,2/8/2023
Monmouth Crossing Assisted Living §,Freehold Twp,2,7,0,0,12/29/2022,Monmouth,3/7/2023
The Jewish Home for Rehab and Nursing §,Freehold Twp,22,2,2,0,12/28/2022,Monmouth,3/9/2023
The Chelsea at Shewbury,Shrewsbury Boro,6,1,0,0,12/27/2022,Monmouth,3/1/2023
Imperial Healthcare,Neptune City,45,16,0,0,12/16/2022,Monmouth,3/13/2023
Brandywine Living at Governor's Crossing,Englishtown Boro,21,8,0,0,12/16/2022,Monmouth,3/28/2023
Atria Senior Living Tinton Falls,Tinton Falls,11,6,0,0,12/14/2022,Monmouth,1/19/2023
The Willows at Holmdel,Holmdel,9,5,0,0,12/7/2022,Monmouth,1/24/2023
Sunnyside Manor Assisted Living,Wall Twp,16,14,1,0,12/7/2022,Monmouth,3/1/2023
Preferred Care at Wall,Wall Twp,66,15,3,0,12/5/2022,Monmouth,3/16/2023
Brighton Gardens of Middletown,Middletown,28,2,2,0,12/1/2022,Monmouth,2/21/2023
Brandywine Living at Howell,Howell Twp,26,12,1,0,11/30/2022,Monmouth,3/27/2023
Shore Pointe Care Center (Formerly Gateway Care Center),Eatontown,28,13,0,0,11/30/2022,Monmouth,2/17/2023
Hackensack Meridian Health Nursing & Rehab,Red Bank,31,29,2,0,11/28/2022,Monmouth,3/9/2023
Complete Care at Shrewsbury (formerly Hackensack Meridian Nursing & Rehabilitation),Shrewsbury Boro,18,13,0,0,11/21/2022,Monmouth,4/5/2023
King Manor Care & Rehabilitation Center,Neptune City,13,3,0,0,11/21/2022,Monmouth,1/10/2023
Applewood Retirement Facility,Freehold Twp,18,12,2,0,11/18/2022,Monmouth,3/16/2023
The Jewish Home for Rehab and Nursing,Freehold Twp,1,0,0,0,11/18/2022,Monmouth,12/22/2022
Mira Vie at Manalapan §,Manalapan,8,8,0,0,11/18/2022,Monmouth,2/13/2023
Complete Care Ocean Grove,Ocean Grove,5,6,1,0,11/16/2022,Monmouth,2/2/2023
Laurel Bay Health and Rehab Center,Keansburg,17,8,0,0,11/15/2022,Monmouth,1/23/2023
De La Salle Hall,Middletown,13,17,0,0,11/14/2022,Monmouth,2/14/2023
Sunrise Assisted Living - Wall §,Wall Twp,17,18,1,0,11/10/2022,Monmouth,3/9/2023
Ocean Grove Assisted Living and Memory Care,Neptune Twp,42,21,0,0,11/9/2022,Monmouth,4/6/2023
Sunrise Of Shrewsbury,Shrewsbury Boro,18,6,0,0,10/31/2022,Monmouth,3/24/2023
CareOne at Wall,Wall Twp,20,14,0,0,10/31/2022,Monmouth,3/2/2023
Brighton Gardens of Middletown,Middletown,1,1,0,0,10/28/2022,Monmouth,12/6/2022
Tower Lodge Care Center,Wall Twp,25,10,1,0,10/28/2022,Monmouth,1/20/2023
The Villas,Manalapan,1,0,0,0,10/27/2022,Monmouth,12/2/2022
Complete Care at Monmouth (Formerly Monmouth Care Center) §,Long Branch,49,17,4,0,10/25/2022,Monmouth,3/15/2023
Anchor Care and Rehabilitation,Hazlet,36,23,0,0,10/19/2022,Monmouth,2/8/2023
Jersey Shore Post-Acute Nursing and Rehab (formerly Neptune Gardens Nursing & Rehab),Neptune City,2,2,0,0,10/18/2022,Monmouth,11/30/2022
The Villas of Holmdel,Holmdel,9,2,0,0,10/17/2022,Monmouth,12/1/2022
Excelcare at Manalapan (formerly Pine Brook Care Center),Manalapan,30,5,2,0,10/17/2022,Monmouth,1/24/2023
Bayside Manor,Keansburg,38,20,0,0,10/11/2022,Monmouth,1/24/2023
Brandywine Living Reflections at Colts Neck §,Colts Neck,17,2,0,0,10/6/2022,Monmouth,12/21/2022
Mira Vie at Tinton Falls §,Tinton Falls,1,1,0,0,10/3/2022,Monmouth,11/23/2022
Arbor Terrace Shrewsbury,Tinton Falls,29,4,0,0,9/30/2022,Monmouth,3/22/2023
Brandywine Living at The Sycamore,Shrewsbury Twp,38,15,1,0,9/29/2022,Monmouth,12/2/2022
Brandywine Assisted Living at Wall,Wall Twp,28,7,0,0,9/29/2022,Monmouth,1/5/2023
Arnold Walter Nursing & Rehabilitation Center §,Hazlet,71,36,7,0,9/29/2022,Monmouth,3/15/2023
Complete Care Ocean Grove,Ocean Grove,2,3,0,0,9/26/2022,Monmouth,11/18/2022
Coral Harbor Rehabilitation & Healthcare Center,Neptune City,27,9,2,0,9/26/2022,Monmouth,12/2/2022
Wedgewood Gardens,Freehold Twp,27,18,1,0,9/22/2022,Monmouth,1/23/2023
Complete Care at Monmouth (Formerly Monmouth Care Center),Long Branch,5,3,1,0,9/21/2022,Monmouth,11/1/2022
Tower Lodge Care Center,Wall Twp,1,0,0,0,9/20/2022,Monmouth,10/19/2022
Imperial Healthcare,Neptune City,10,6,0,0,9/15/2022,Monmouth,11/22/2022
Brandywine Living at Howell,Howell Twp,1,4,0,0,9/13/2022,Monmouth,11/22/2022
Brighton Gardens of Middletown,Middletown,2,1,0,0,9/9/2022,Monmouth,10/18/2022
Millennium Memory Care of at Matawan,Matawan,4,0,0,0,9/9/2022,Monmouth,10/19/2022
The Atrium at Navesink Harbor,Red Bank,0,2,0,0,9/7/2022,Monmouth,10/7/2022
Jersey Shore Post-Acute Nursing and Rehab (formerly Neptune Gardens Nursing & Rehab),Neptune City,4,0,0,0,9/6/2022,Monmouth,10/18/2022
Springpoint Senior Living at Manalapan §,Manalapan,2,6,0,0,9/6/2022,Monmouth,12/21/2022
Mattison Crossing,Freehold Twp,15,0,0,0,8/31/2022,Monmouth,11/7/2022
Spring Hills Assisted Living of Matawan (formerly Atrium Senior Living of Matawan),Matawan,8,4,0,0,8/31/2022,Monmouth,10/19/2022
The Chelsea at Shewbury,Shrewsbury Boro,6,4,0,0,8/30/2022,Monmouth,11/30/2022
Brandywine Living at Governor's Crossing,Englishtown Boro,6,2,0,0,8/29/2022,Monmouth,10/21/2022
Arbor Terrace of Middletown,Middletown,27,12,0,0,8/26/2022,Monmouth,11/21/2022
Laurel Bay Health and Rehab Center,Keansburg,1,0,0,0,8/26/2022,Monmouth,9/27/2022
Wellington Estates AL,Wall Twp,1,2,0,0,8/24/2022,Monmouth,9/26/2022
Sunrise Senior Living of Marlboro,Marlboro Twp,11,1,0,0,8/23/2022,Monmouth,9/27/2022
Sunrise Assisted Living - Wall,Wall Twp,6,3,0,0,8/17/2022,Monmouth,9/27/2022
Excelcare at Manalapan (formerly Pine Brook Care Center),Manalapan,1,0,0,0,8/17/2022,Monmouth,9/13/2022
Bayside Manor,Keansburg,4,8,0,0,8/16/2022,Monmouth,10/13/2022
The Villas,Manalapan,7,0,0,0,8/15/2022,Monmouth,9/12/2022
Sunrise Of Shrewsbury,Shrewsbury Boro,1,1,0,0,8/12/2022,Monmouth,10/4/2022
Arnold Walter Nursing & Rehabilitation Center,Hazlet,27,7,0,0,8/2/2022,Monmouth,9/13/2022
Meadowbrook Respiratory & Nursing Center §,Matawan,55,34,0,0,8/1/2022,Monmouth,3/8/2023
Imperial Healthcare,Neptune City,3,5,1,0,8/1/2022,Monmouth,9/27/2022
The Chelsea at Marlboro,Marlboro Twp,24,10,0,0,7/27/2022,Monmouth,12/21/2022
Wardell Gardens Nursing and Rehab at Tinton Falls,Tinton Falls,0,3,0,0,7/27/2022,Monmouth,8/29/2022
Tower Lodge Care Center,Wall Twp,0,4,0,0,7/26/2022,Monmouth,8/25/2022
Renaissance,Marlboro Twp,1,0,0,0,7/22/2022,Monmouth,8/23/2022
Sunrise Senior Living of Marlboro §,Marlboro Twp,1,0,0,0,7/21/2022,Monmouth,8/23/2022
Brandywine Living Reflections at Colts Neck,Colts Neck,7,5,0,0,7/21/2022,Monmouth,8/31/2022
Sunrise of Lincroft,Middletown,30,28,0,0,7/21/2022,Monmouth,11/30/2022
Shore Pointe Care Center (Formerly Gateway Care Center),Eatontown,14,13,0,0,7/13/2022,Monmouth,10/21/2022
The Willows at Holmdel,Holmdel,9,8,1,0,7/12/2022,Monmouth,11/21/2022
Anchor Care and Rehabilitation,Hazlet,7,5,0,0,7/7/2022,Monmouth,9/27/2022
The Manor Health and Rehabilitation Center,Freehold Twp,24,42,0,0,6/28/2022,Monmouth,2/6/2023
The Atrium at Navesink Harbor,Red Bank,1,9,0,0,6/24/2022,Monmouth,8/25/2022
Wedgewood Gardens,Freehold Twp,5,2,0,0,6/15/2022,Monmouth,8/4/2022
Coral Harbor Rehabilitation & Healthcare Center,Neptune City,0,2,0,0,6/7/2022,Monmouth,8/9/2022
Sunnyside Manor at Wall,Freehold Twp,0,2,0,0,6/2/2022,Monmouth,7/1/2022
Millennium Memory Care at Holmdel,Holmdel,8,0,0,0,6/2/2022,Monmouth,8/9/2022
Springpoint Senior Living at Manalapan,Manalapan,9,2,0,0,5/31/2022,Monmouth,7/5/2022
Ocean Grove Assisted Living and Memory Care,Neptune Twp,15,6,0,0,5/31/2022,Monmouth,9/8/2022
Brighton Gardens of Middletown,Middletown,25,9,1,0,5/31/2022,Monmouth,9/1/2022
Sunrise Senior Living of Marlboro §,Marlboro Twp,16,9,1,0,5/27/2022,Monmouth,7/27/2022
Preferred Care at Wall,Wall Twp,0,6,0,0,5/27/2022,Monmouth,8/2/2022
Imperial Healthcare,Neptune City,5,6,0,0,5/23/2022,Monmouth,8/1/2022
Bayside Manor,Keansburg,10,9,0,0,5/23/2022,Monmouth,8/2/2022
Mira Vie at Manalapan §,Manalapan,12,15,1,0,5/19/2022,Monmouth,11/10/2022
The Willows at Holmdel,Holmdel,0,2,0,0,5/18/2022,Monmouth,7/8/2022
Brandywine Living at The Sycamore,Shrewsbury Twp,14,7,0,0,5/17/2022,Monmouth,10/4/2022
Arbor Terrace Shrewsbury,Tinton Falls,3,2,0,0,5/16/2022,Monmouth,8/4/2022
Mattison Crossing,Freehold Twp,4,0,0,0,5/13/2022,Monmouth,8/4/2022
Sunrise Assisted Living - Wall,Wall Twp,20,10,0,0,5/13/2022,Monmouth,7/20/2022
Allaire Rehab & Nursing,Freehold Twp,80,61,0,0,5/13/2022,Monmouth,3/27/2023
De La Salle Hall,Middletown,0,3,0,0,5/13/2022,Monmouth,6/22/2022
The Chelsea at Marlboro,Marlboro Twp,1,2,0,0,5/12/2022,Monmouth,7/5/2022
Arnold Walter Nursing & Rehabilitation Center §,Hazlet,12,7,4,0,5/12/2022,Monmouth,8/3/2022
Wedgewood Gardens,Freehold Twp,1,1,0,0,5/10/2022,Monmouth,6/7/2022
Spring Hills Assisted Living of Matawan (formerly Atrium Senior Living of Matawan) §,Matawan,0,5,0,0,5/10/2022,Monmouth,8/30/2022
Complete Care at Shrewsbury (formerly Hackensack Meridian Nursing & Rehabilitation) §,Shrewsbury Boro,38,46,0,0,5/10/2022,Monmouth,11/3/2022
Mira Vie at Tinton Falls,Tinton Falls,1,2,0,0,5/10/2022,Monmouth,7/7/2022
Complete Care Ocean Grove,Ocean Grove,11,9,2,0,5/6/2022,Monmouth,9/8/2022
King Manor Care & Rehabilitation Center,Neptune City,5,1,0,0,5/6/2022,Monmouth,8/3/2022
The Jewish Home for Rehab and Nursing,Freehold Twp,6,1,0,0,5/4/2022,Monmouth,6/22/2022
The Chelsea at Shewbury,Shrewsbury Boro,0,4,0,0,5/3/2022,Monmouth,6/28/2022
Arbor Terrace of Middletown,Middletown,2,5,0,0,5/3/2022,Monmouth,8/15/2022
Wellington Estates AL,Wall Twp,6,3,0,0,5/3/2022,Monmouth,7/8/2022
Tower Lodge Care Center,Wall Twp,2,9,1,0,5/3/2022,Monmouth,7/13/2022
Bayside Manor,Keansburg,2,0,0,0,5/2/2022,Monmouth,5/13/2022
Atria Senior Living Tinton Falls,Tinton Falls,23,2,0,0,4/29/2022,Monmouth,7/28/2022
Hackensack Meridian Health Nursing & Rehab,Red Bank,3,18,1,0,4/19/2022,Monmouth,10/7/2022
Meadowbrook Respiratory & Nursing Center,Matawan,1,5,0,0,4/18/2022,Monmouth,7/28/2022
Applewood Retirement Facility §,Freehold Twp,13,23,2,0,4/18/2022,Monmouth,9/28/2022
Anchor Care and Rehabilitation,Hazlet,6,2,1,0,4/14/2022,Monmouth,6/8/2022
Brighton Gardens of Middletown,Middletown,2,0,0,0,4/7/2022,Monmouth,5/31/2022
Complete Care at Bayshore (formerly Bayshore Healthcare Center),Holmdel,31,67,1,0,4/5/2022,Monmouth,2/13/2023
The Villas,Manalapan,14,3,1,0,4/5/2022,Monmouth,6/7/2022
CareOne at Wall,Wall Twp,39,34,1,0,4/5/2022,Monmouth,10/21/2022
CareOne at King James,Middletown,57,45,3,0,4/4/2022,Monmouth,5/1/2023
Arbor Terrace of Middletown,Middletown,1,0,0,0,4/1/2022,Monmouth,4/29/2022
Excelcare at Manalapan (formerly Pine Brook Care Center),Manalapan,7,1,0,0,3/31/2022,Monmouth,5/20/2022
Monmouth Crossing Assisted Living,Freehold Twp,28,25,3,0,3/29/2022,Monmouth,9/13/2022
The Manor Health and Rehabilitation Center,Freehold Twp,6,6,0,0,3/29/2022,Monmouth,6/28/2022
Sunnyside Manor Assisted Living,Wall Twp,24,11,3,0,3/28/2022,Monmouth,8/23/2022
Arnold Walter Nursing & Rehabilitation Center §,Hazlet,1,1,1,0,3/25/2022,Monmouth,5/12/2022
Laurel Bay Health and Rehab Center,Keansburg,25,9,1,0,3/25/2022,Monmouth,7/17/2022
The Chelsea at Marlboro §,Marlboro Twp,9,7,0,0,1/11/2022,Monmouth,3/31/2022
Mattison Crossing,Freehold Twp,4,11,1,0,1/11/2022,Monmouth,3/28/2022
Sunrise Assisted Living - Wall,Wall Twp,8,12,0,0,1/11/2022,Monmouth,3/7/2022
The Villas,Manalapan,2,16,0,0,1/6/2022,Monmouth,3/17/2022
Brandywine Living at The Sycamore,Shrewsbury Twp,11,6,0,0,1/5/2022,Monmouth,3/7/2022
Renaissance,Marlboro Twp,1,0,0,0,1/4/2022,Monmouth,2/23/2022
Jersey Shore Post-Acute Nursing and Rehab (formerly Neptune Gardens Nursing & Rehab),Neptune City,10,2,0,0,12/31/2021,Monmouth,2/17/2022
The Willows at Holmdel,Holmdel,15,25,1,0,12/30/2021,Monmouth,4/26/2022
CareOne at Holmdel,Holmdel,88,68,1,0,12/29/2021,Monmouth,3/27/2023
Complete Care Ocean Grove,Ocean Grove,30,32,5,0,12/29/2021,Monmouth,4/21/2022
Monmouth Crossing Assisted Living,Freehold Twp,1,11,0,0,12/29/2021,Monmouth,3/24/2022
Spring Hills Assisted Living of Matawan (formerly Atrium Senior Living of Matawan),Matawan,9,6,0,0,12/28/2021,Monmouth,2/23/2022
Excelcare at Manalapan (formerly Pine Brook Care Center),Manalapan,5,4,0,0,12/28/2021,Monmouth,3/14/2022
Applewood Retirement Facility,Freehold Twp,6,20,1,0,12/28/2021,Monmouth,2/28/2022
De La Salle Hall,Middletown,1,10,0,0,12/27/2021,Monmouth,2/23/2022
CareOne at King James,Middletown,20,23,2,0,12/25/2021,Monmouth,3/28/2022
Coral Harbor Rehabilitation & Healthcare Center,Neptune City,24,16,0,0,12/22/2021,Monmouth,3/7/2022
Arbor Terrace Shrewsbury,Tinton Falls,12,17,2,0,12/22/2021,Monmouth,5/16/2022
Wedgewood Gardens,Freehold Twp,5,3,0,0,12/22/2021,Monmouth,3/14/2022
Sunnyside Manor at Wall,Freehold Twp,20,24,2,0,12/22/2021,Monmouth,3/2/2022
Arbor Terrace of Middletown,Middletown,13,17,0,0,12/22/2021,Monmouth,2/28/2022
Imperial Healthcare,Neptune City,29,29,2,0,12/22/2021,Monmouth,4/11/2022
Mira Vie at Tinton Falls,Tinton Falls,21,4,0,0,12/21/2021,Monmouth,3/24/2022
Brandywine Living at Howell,Howell Twp,7,8,1,0,12/21/2021,Monmouth,4/19/2022
Laurel Bay Health and Rehab Center,Keansburg,3,7,0,0,12/21/2021,Monmouth,3/7/2022
The Chelsea at Shewbury,Shrewsbury Boro,40,21,1,0,12/20/2021,Monmouth,3/25/2022
Complete Care at Monmouth (Formerly Monmouth Care Center),Long Branch,1,8,0,0,12/17/2021,Monmouth,2/23/2022
Shore Pointe Care Center (Formerly Gateway Care Center),Eatontown,38,45,0,0,12/16/2021,Monmouth,3/28/2022
Sunrise Of Shrewsbury,Shrewsbury Boro,9,12,0,0,12/16/2021,Monmouth,5/6/2022
Preferred Care at Wall,Wall Twp,51,58,1,0,12/15/2021,Monmouth,3/25/2022
Tower Lodge Care Center,Wall Twp,1,15,0,0,12/13/2021,Monmouth,2/22/2022
The Jewish Home for Rehab and Nursing,Freehold Twp,36,11,1,0,12/13/2021,Monmouth,3/24/2022
King Manor Care & Rehabilitation Center,Neptune City,6,6,1,0,12/13/2021,Monmouth,3/3/2022
Brandywine Living at Governor's Crossing,Englishtown Boro,28,7,0,0,12/13/2021,Monmouth,4/25/2022
The Atrium at Navesink Harbor,Red Bank,6,37,1,0,12/12/2021,Monmouth,3/10/2022
Brighton Gardens of Middletown,Middletown,18,20,2,0,12/11/2021,Monmouth,3/9/2022
Brandywine Living Reflections at Colts Neck,Colts Neck,13,11,0,0,12/10/2021,Monmouth,2/28/2022
The Manor Health and Rehabilitation Center,Freehold Twp,5,29,0,0,12/10/2021,Monmouth,3/18/2022
Brandywine Assisted Living at Wall,Wall Twp,14,20,1,0,12/10/2021,Monmouth,4/1/2022
Anchor Care and Rehabilitation,Hazlet,22,41,3,0,12/8/2021,Monmouth,4/14/2022
Atria Senior Living Tinton Falls,Tinton Falls,26,15,1,0,12/8/2021,Monmouth,4/22/2022
CareOne at Wall,Wall Twp,57,40,3,0,12/6/2021,Monmouth,3/24/2022
Sunrise of Lincroft,Middletown,16,14,0,0,12/4/2021,Monmouth,3/28/2022
Sunnyside Manor Assisted Living,Wall Twp,6,15,0,0,12/2/2021,Monmouth,3/17/2022
Wellington Estates AL,Wall Twp,18,37,0,0,12/1/2021,Monmouth,3/15/2022
Meadowbrook Respiratory & Nursing Center,Matawan,20,19,0,0,11/30/2021,Monmouth,3/11/2022
Mira Vie at Manalapan,Manalapan,16,14,3,0,11/30/2021,Monmouth,3/7/2022
Complete Care at Shrewsbury (formerly Hackensack Meridian Nursing & Rehabilitation),Shrewsbury Boro,7,45,0,0,11/30/2021,Monmouth,5/6/2022
Complete Care at Bayshore (formerly Bayshore Healthcare Center),Holmdel,15,75,2,0,11/29/2021,Monmouth,3/11/2022
Hackensack Meridian Health Nursing & Rehab,Red Bank,86,60,5,0,11/29/2021,Monmouth,4/21/2022
Jersey Shore Center §,Eatontown,150,126,10,0,11/29/2021,Monmouth,4/18/2023
Wardell Gardens Nursing and Rehab at Tinton Falls,Tinton Falls,10,15,0,0,11/29/2021,Monmouth,3/9/2022
Sunrise Senior Living of Marlboro,Marlboro Twp,18,12,0,0,11/24/2021,Monmouth,4/3/2022
Allaire Rehab & Nursing,Freehold Twp,18,34,0,0,11/24/2021,Monmouth,3/23/2022
Seabrook Village Continuing Care,Tinton Falls,137,126,5,0,11/18/2021,Monmouth,3/29/2023
Ocean Grove Assisted Living and Memory Care,Neptune Twp,29,33,1,0,11/16/2021,Monmouth,4/5/2022
Bayside Manor,Keansburg,52,58,12,0,10/12/2021,Monmouth,5/2/2022
Sunnyside Manor at Wall,Freehold Twp,0,0,0,0,10/7/2021,Monmouth,11/9/2021
Allaire Rehab & Nursing,Freehold Twp,0,2,0,0,10/7/2021,Monmouth,11/4/2021
Brandywine Living at Governor's Crossing,Englishtown Boro,1,0,0,0,10/7/2021,Monmouth,11/10/2021
CareOne at King James,Middletown,2,0,0,0,9/28/2021,Monmouth,11/22/2021
Brandywine Assisted Living at Wall,Wall Twp,2,4,0,0,9/27/2021,Monmouth,11/23/2021
Coral Harbor Rehabilitation & Healthcare Center,Neptune City,0,2,0,0,9/20/2021,Monmouth,11/15/2021
The Chelsea at Marlboro §,Marlboro Twp,3,1,0,0,9/16/2021,Monmouth,12/29/2021
The Jewish Home for Rehab and Nursing,Freehold Twp,1,1,0,0,9/15/2021,Monmouth,10/13/2021
Sunrise Assisted Living - Wall,Wall Twp,15,2,2,0,9/13/2021,Monmouth,11/19/2021
Seabrook Village Continuing Care §,Tinton Falls,1,3,0,0,9/10/2021,Monmouth,11/18/2021
Brandywine Living at Howell,Howell Twp,1,3,0,0,9/10/2021,Monmouth,11/9/2021
Shore Pointe Care Center (Formerly Gateway Care Center) §,Eatontown,1,5,0,0,9/9/2021,Monmouth,12/16/2021
Arbor Terrace of Middletown,Middletown,7,0,0,0,9/7/2021,Monmouth,10/14/2021
De La Salle Hall,Middletown,14,6,2,0,9/7/2021,Monmouth,11/4/2021
Sunrise of Lincroft,Middletown,1,0,0,0,9/7/2021,Monmouth,10/14/2021
Sunnyside Manor Assisted Living,Wall Twp,13,0,1,0,9/2/2021,Monmouth,10/13/2021
Anchor Care and Rehabilitation,Hazlet,14,2,2,0,9/2/2021,Monmouth,10/21/2021
Arnold Walter Nursing & Rehabilitation Center,Hazlet,64,53,6,0,9/2/2021,Monmouth,3/31/2022
Jersey Shore Post-Acute Nursing and Rehab (formerly Neptune Gardens Nursing & Rehab),Neptune City,1,1,0,0,8/31/2021,Monmouth,10/26/2021
Allaire Rehab & Nursing,Freehold Twp,1,2,0,0,8/26/2021,Monmouth,9/22/2021
Brandywine Living at The Sycamore,Shrewsbury Twp,13,4,2,0,8/23/2021,Monmouth,12/18/2021
Mattison Crossing,Freehold Twp,4,2,0,0,8/16/2021,Monmouth,10/7/2021
CareOne at Wall,Wall Twp,12,5,2,0,8/13/2021,Monmouth,11/10/2021
Tower Lodge Care Center,Wall Twp,0,2,0,0,8/11/2021,Monmouth,9/21/2021
Monmouth Crossing Assisted Living,Freehold Twp,0,2,0,0,8/10/2021,Monmouth,9/20/2021
Preferred Care at Wall,Wall Twp,2,5,1,0,8/10/2021,Monmouth,10/14/2021
Ocean Grove Assisted Living and Memory Care,Neptune Twp,1,1,0,0,8/9/2021,Monmouth,10/5/2021
Sunrise Assisted Living - Wall,Wall Twp,1,0,0,0,8/6/2021,Monmouth,9/1/2021
CareOne at King James,Middletown,0,2,0,0,8/5/2021,Monmouth,9/2/2021
Complete Care at Shrewsbury (formerly Hackensack Meridian Nursing & Rehabilitation),Shrewsbury Boro,1,5,1,0,8/4/2021,Monmouth,11/5/2021
The Atrium at Navesink Harbor,Red Bank,0,2,0,0,8/4/2021,Monmouth,9/7/2021
Atria Senior Living Tinton Falls,Tinton Falls,1,0,0,0,7/13/2021,Monmouth,8/4/2021
Wardell Gardens Nursing and Rehab at Tinton Falls,Tinton Falls,1,3,1,0,7/8/2021,Monmouth,9/14/2021
Sunrise Assisted Living - Wall,Wall Twp,1,0,0,0,6/22/2021,Monmouth,6/25/2021
Brandywine Living Reflections at Colts Neck,Colts Neck,2,2,0,0,5/27/2021,Monmouth,6/25/2021
CareOne at Holmdel,Holmdel,1,0,0,0,5/19/2021,Monmouth,6/15/2021
Jersey Shore Post-Acute Nursing and Rehab (formerly Neptune Gardens Nursing & Rehab),Neptune City,1,2,0,0,5/11/2021,Monmouth,6/15/2021
Ocean Grove Assisted Living and Memory Care,Neptune Twp,3,2,0,0,5/10/2021,Monmouth,7/1/2021
Allaire Rehab & Nursing §,Freehold Twp,0,0,0,0,4/29/2021,Monmouth,6/2/2021
Preferred Care at Wall,Wall Twp,5,3,0,0,4/22/2021,Monmouth,6/7/2021
Brandywine Living at Howell,Howell Twp,1,0,0,0,4/19/2021,Monmouth,5/14/2021
The Atrium at Navesink Harbor,Red Bank,0,2,0,0,4/13/2021,Monmouth,5/17/2021
Spring Hills Assisted Living of Matawan (formerly Atrium Senior Living of Matawan),Matawan,1,0,0,0,4/7/2021,Monmouth,5/7/2021
Monmouth Crossing Assisted Living,Freehold Twp,0,2,0,0,4/5/2021,Monmouth,4/28/2021
Sunrise Assisted Living - Wall,Wall Twp,0,2,0,0,3/26/2021,Monmouth,4/22/2021
Tower Lodge Care Center,Wall Twp,0,5,0,0,3/26/2021,Monmouth,5/19/2021
Allaire Rehab & Nursing,Freehold Twp,0,3,0,0,3/26/2021,Monmouth,4/29/2021
Complete Care Ocean Grove,Ocean Grove,0,3,0,0,3/24/2021,Monmouth,5/17/2021
Coral Harbor Rehabilitation & Healthcare Center,Neptune City,8,3,0,0,3/19/2021,Monmouth,6/23/2021
Millennium Memory Care Ocean,Ocean Twp,0,2,0,0,3/14/2021,Monmouth,5/17/2021
CareOne at King James,Middletown,12,7,2,0,3/5/2021,Monmouth,5/4/2021
The Manor Health and Rehabilitation Center,Freehold Twp,1,3,0,0,3/4/2021,Monmouth,4/15/2021
De La Salle Hall,Middletown,0,3,0,0,2/25/2021,Monmouth,4/7/2021
Preferred Care at Wall,Wall Twp,0,4,0,0,2/24/2021,Monmouth,4/14/2021
Tower Lodge Care Center,Wall Twp,0,2,0,0,2/17/2021,Monmouth,3/19/2021
Brandywine Living at Governor's Crossing,Englishtown Boro,0,3,0,0,1/29/2021,Monmouth,4/26/2021
Mira Vie at Manalapan,Manalapan,1,5,0,0,1/20/2021,Monmouth,2/24/2021
Mattison Crossing,Freehold Twp,0,4,0,0,1/15/2021,Monmouth,2/22/2021
Atria Senior Living Tinton Falls,Tinton Falls,21,10,5,0,1/11/2021,Monmouth,3/26/2021
De La Salle Hall,Middletown,0,2,0,0,1/6/2021,Monmouth,2/12/2021
Sunrise Senior Living of Marlboro,Marlboro Twp,0,2,0,0,1/5/2021,Monmouth,3/9/2021
CareOne at King James,Middletown,1,0,1,0,1/4/2021,Monmouth,2/1/2021
The Manor Health and Rehabilitation Center,Freehold Twp,15,15,4,0,12/30/2020,Monmouth,2/24/2021
Brandywine Assisted Living at Wall,Wall Twp,40,12,9,0,12/22/2020,Monmouth,5/4/2021
Renaissance,Marlboro Twp,3,0,0,0,12/18/2020,Monmouth,4/19/2021
Preferred Care at Wall,Wall Twp,0,4,0,0,12/16/2020,Monmouth,1/26/2021
Complete Care at Monmouth (Formerly Monmouth Care Center),Long Branch,1,9,1,0,12/8/2020,Monmouth,4/15/2021
Sunrise of Lincroft,Middletown,7,7,2,0,12/8/2020,Monmouth,2/12/2021
Monmouth Crossing Assisted Living,Freehold Twp,2,18,0,0,12/7/2020,Monmouth,2/11/2021
Brighton Gardens of Middletown,Middletown,16,9,0,0,12/7/2020,Monmouth,3/1/2021
CareOne at Wall,Wall Twp,34,38,2,0,11/30/2020,Monmouth,4/11/2021
Sunrise Of Shrewsbury,Shrewsbury Boro,3,7,0,0,11/28/2020,Monmouth,3/5/2021
Ocean Grove Assisted Living and Memory Care,Neptune Twp,27,39,11,0,11/27/2020,Monmouth,4/19/2021
Arbor Terrace Shrewsbury,Tinton Falls,30,24,3,0,11/19/2020,Monmouth,2/6/2021
Sunnyside Manor Assisted Living,Wall Twp,7,32,1,0,11/19/2020,Monmouth,5/27/2021
Brandywine Living Reflections at Colts Neck,Colts Neck,0,15,0,0,11/18/2020,Monmouth,5/7/2021
Laurel Bay Health and Rehab Center,Keansburg,20,18,1,0,11/18/2020,Monmouth,6/17/2021
The Willows at Holmdel,Holmdel,4,5,1,0,11/18/2020,Monmouth,2/27/2021
CareOne at Holmdel,Holmdel,27,13,7,0,11/18/2020,Monmouth,3/3/2021
Imperial Healthcare,Neptune City,13,23,0,0,11/18/2020,Monmouth,5/17/2021
Shore Pointe Care Center (Formerly Gateway Care Center),Eatontown,4,11,0,0,11/18/2020,Monmouth,5/21/2021
